체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-023432],10751,1482,,8 000105, ,, 000109
[09:00:01-262608],10752,15,00010752,00010751,2,0009056,0013628
[09:00:01-272302],10752,100,00010752,00010751,2,0008956,0013628
[09:00:09-066987],10751,10,00010752,00010751,1,0009539,0013668
[09:00:09-745557],10751,55,00010752,00010751,1,0009549,0013613
[09:00:10-143275],10751,6,00010752,00010751,1,0009549,0013607
[09:00:10-145370],10751,6,00010752,00010751,1,0009549,0013601
[09:00:14-694586],10751,2,00010752,00010751,1,0010059,0013855
[09:00:17-991845],10751,25,00010752,00010751,1,0010079,0013729
[09:00:17-994413],10751,25,00010752,00010751,1,0010079,0013704
[09:00:17-994853],10751,25,00010752,00010751,1,0010079,0013679
[09:00:17-998958],10751,50,00010752,00010751,1,0010079,0013629
[09:00:17-999804],10751,100,00010752,00010751,1,0010079,0013529
[09:00:18-001817],10751,9,00010752,00010750,1,0010079,0013520
[09:00:18-013067],10751,1,,4 000106,2,, 000108
[09:00:18-476237],10751,4,00010752,00010751,1,0010068,0013436
[09:00:18-478435],10751,4,00010752,00010751,1,0010068,0013432
[09:00:18-644843],10751,20,00010752,00010751,1,0010068,0013515
[09:00:19-913264],10751,40,00010752,00010751,1,0010101,0013538
[09:00:21-496390],10751,10,00010752,00010751,1,0010101,0013578
[09:00:22-373330],10751,11,00010752,00010751,1,0010101,0013589
[09:00:29-379072],10751,6,00010752,00010751,1,0010124,0013246
[09:00:29-383767],10751,6,00010752,00010751,1,0010124,0013237
[09:00:31-426485],10751,2,00010752,00010751,1,0010126,0013245
[09:00:36-382651],10751,1,00010752,00010751,1,0010126,0013244
[09:00:36-387846],10751,1,00010752,00010751,1,0010126,0013243
[09:00:39-080919],10751,30,00010752,00010751,1,0010221,0013213
[09:00:39-663851],10751,50,00010752,00010751,1,0010221,0013163
[09:00:40-130187],10751,6,00010752,00010751,1,0010221,0013107
[09:00:42-918300],10751,6,00010752,00010751,1,0010221,0013101
[09:00:43-655140],10751,10,00010752,00010751,1,0010221,0013091
[09:00:44-009753],10751,88,00010751,00010750,1,0010233,0013002
[09:00:45-339876],10750,2,00010751,00010750,1,0010241,0013123
[09:01:06-564204],10751,150,00010751,00010750,2,0010687,0013422
[09:01:06-566274],10751,12,00010751,00010750,2,0010675,0013422
[09:01:06-566577],10751,50,00010751,00010750,2,0010625,0013422
[09:01:06-567719],10751,45,,4 000106,2,, 000108
[09:01:07-965667],10751,45,00010752,00010751,1,0010583,0013478
[09:01:14-793273],10751,3,00010752,00010751,1,0010328,0013916
[09:01:15-990046],10751,6,00010752,00010751,1,0011228,0013755
[09:01:16-088678],10751,6,00010752,00010751,1,0011228,0013749
[09:01:16-094482],10751,6,00010752,00010751,1,0011228,0013742
[09:01:16-102535],10751,6,00010752,00010751,1,0011228,0013733
[09:01:29-788695],10751,2,00010752,00010751,1,0009334,0013886
[09:01:33-107657],10751,6,00010752,00010751,1,0009384,0013830
[09:01:33-126276],10751,50,00010752,00010751,1,0009450,0013780
[09:01:33-130077],10751,6,00010752,00010751,1,0009467,0013771
[09:01:34-957849],10751,1,00010752,00010751,1,0009467,0014000
[09:01:46-791984],10751,60,00010752,00010751,1,0009487,0014024
[09:01:49-340935],10751,3,00010752,00010751,1,0009484,0014078
[09:01:52-111118],10751,45,00010752,00010751,1,0009486,0014043
[09:01:59-347136],10751,300,00010752,00010751,1,0009125,0013828
[09:02:07-591298],10751,2,00010752,00010751,1,0009751,0013989
[09:02:20-538544],10752,1,00010752,00010751,2,0009620,0014482
[09:02:31-988766],10751,2,00010752,00010751,1,0009365,0014399
[09:02:32-455770],10752,80,00010752,00010751,2,0009285,0014417
[09:02:32-460605],10752,149,00010752,00010751,2,0009136,0014417
[09:02:32-466364],10752,17,00010752,00010751,2,0009119,0014417
[09:02:32-478848],10752,7,00010752,00010751,2,0009112,0014417
[09:02:32-481258],10752,100,00010752,00010751,2,0009012,0014417
[09:02:32-482668],10752,56,00010752,00010751,2,0008956,0014417
[09:02:32-483700],10752,3,00010752,00010751,2,0008953,0014417
[09:02:32-486278],10752,155,00010752,00010751,2,0008798,0014417
[09:02:32-496334],10752,2,00010752,00010751,2,0008796,0014417
[09:02:32-502671],10752,12,00010752,00010751,2,0008784,0014417
[09:02:32-503789],10752,1,00010752,00010751,2,0008783,0014417
[09:02:32-506359],10752,1,00010752,00010751,2,0008782,0014417
[09:02:32-507626],10752,50,00010752,00010751,2,0008732,0014417
[09:02:32-508822],10752,1,00010752,00010751,2,0008731,0014417
[09:02:32-510087],10752,10,00010752,00010751,2,0008721,0014417
[09:02:32-511509],10752,25,00010752,00010751,2,0008696,0014417
[09:02:32-512601],10752,66,00010752,00010751,2,0008630,0014417
[09:02:32-514137],10752,50,00010752,00010751,2,0008580,0014417
[09:02:32-516428],10752,3,,5 000106,2,, 000108
[09:02:42-443669],10753,7,00010753,00010752,2,0008616,0015002
[09:02:43-920603],10753,300,00010753,00010752,2,0008076,0015069
[09:02:43-924779],10753,12,00010753,00010752,2,0008061,0015069
[09:02:43-925903],10753,5,00010753,00010752,2,0008056,0015069
[09:02:44-776699],10753,20,00010753,00010752,2,0008036,0015149
[09:02:54-635676],10753,150,00010753,00010752,2,0008162,0015052
[09:02:54-656939],10753,1,00010753,00010752,2,0008158,0015052
[09:02:56-614679],10753,1,00010753,00010752,2,0008157,0015052
[09:02:56-617055],10753,1,00010753,00010752,2,0008156,0015052
[09:02:56-618299],10753,1,00010753,00010752,2,0008155,0015052
[09:02:56-619583],10753,1,00010753,00010752,2,0008154,0015052
[09:03:33-873207],10752,2,00010753,00010752,1,0009135,0015460
[09:03:40-955103],10753,2,00010753,00010752,2,0009178,0015460
[09:03:40-955503],10753,4,00010753,00010752,2,0009174,0015460
[09:03:40-957094],10753,5,00010753,00010752,2,0009169,0015460
[09:03:57-217917],10752,1,00010753,00010752,1,0009168,0015459
[09:04:14-481763],10752,1,00010753,00010752,1,0009321,0015310
[09:04:38-815145],10752,2,00010753,00010752,1,0009546,0015367
[09:04:38-977232],10752,100,00010753,00010752,1,0009546,0015267
[09:05:00-107082],10752,1,00010753,00010752,1,0009546,0015296
[09:05:24-442276],10752,2,00010753,00010752,1,0009557,0015310
[09:05:32-845542],10753,50,00010753,00010752,2,0009519,0015314
[09:05:41-723388],10752,1,00010753,00010752,1,0009440,0015318
[09:06:10-494152],10753,200,00010753,00010752,2,0009284,0015430
[09:06:10-495689],10753,25,00010753,00010752,2,0009259,0015430
[09:06:10-496201],10753,11,00010753,00010752,2,0009248,0015430
[09:06:10-499697],10753,6,00010753,00010752,2,0009242,0015430
[09:06:10-501986],10753,2,00010753,00010752,2,0009240,0015430
[09:06:10-503326],10753,75,00010753,00010752,2,0009165,0015430
[09:06:11-164798],10753,200,00010753,00010752,2,0008965,0015415
[09:06:11-174563],10753,50,00010754,00010752,2,0008915,0015439
[09:06:11-181595],10753,5,00010754,00010752,1,0008998,0015339
[09:06:11-252698],10753,5,00010754,00010752,1,0008998,0015334
[09:06:11-277780],10753,3,00010754,00010753,2,0008998,0015576
[09:06:18-172246],10754,4,00010754,00010753,2,0008994,0015723
[09:06:23-362890],10753,1,00010754,00010753,1,0008910,0015772
[09:06:47-785052],10753,10,00010754,00010753,1,0009964,0016083
[09:06:49-507611],10753,1,00010754,00010753,1,0009964,0015846
[09:06:58-858948],10753,100,00010754,00010753,1,0010144,0015713
[09:07:04-441438],10753,1,00010754,00010753,1,0010193,0015733
[09:07:06-447924],10753,5,00010754,00010753,1,0010194,0015728
[09:07:07-874519],10753,50,00010754,00010753,1,0010144,0015678
