체결시각,현재가격,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:00-031088],10762,1919,,8 000105, ,, 000109
[09:00:01-558691],10762,79,,5 000107,2,, 000108
[09:00:01-559266],10763,91,,5 000107,2,, 000108
[09:00:01-560677],10764,131,00010765,00010764,2,0007855,0013301
[09:00:01-561902],10765,500,00010765,00010764,2,0007355,0013301
[09:00:01-571940],10765,500,00010765,00010764,2,0006855,0015801
[09:00:01-624752],10764,1,00010765,00010764,1,0006855,0017996
[09:00:01-822139],10764,51,00010765,00010764,1,0006855,0018045
[09:00:01-839473],10765,40,,7 000107,2,, 000108
[09:00:01-839658],10766,121,,7 000107,2,, 000108
[09:00:01-841057],10768,39,00010768,00010764,2,0006655,0017845
[09:00:01-988625],10768,22,00010768,00010764,2,0006633,0017845
[09:00:01-988961],10768,145,00010768,00010764,2,0006488,0017845
[09:00:01-990364],10768,105,00010768,00010764,2,0006383,0017845
[09:00:06-849603],10765,3,00010765,00010764,1,0007086,0018358
[09:00:06-851898],10765,10,00010765,00010764,2,0007076,0018358
[09:00:06-855938],10765,17,00010765,00010764,2,0007062,0018358
[09:00:06-858122],10765,3,00010766,00010765,2,0007059,0018360
[09:00:08-312370],10765,5,00010765,00010764,1,0007115,0018360
[09:00:08-905850],10765,30,00010765,00010764,2,0007145,0018363
[09:00:08-907767],10765,25,00010766,00010764,2,0007120,0018363
[09:00:09-459959],10765,5,00010765,00010764,1,0007165,0018363
[09:00:09-515079],10765,48,00010766,00010765,2,0007256,0018365
[09:00:09-520003],10765,2,00010766,00010764,1,0007256,0018363
[09:00:09-522547],10765,2,00010766,00010765,1,0007256,0018366
[09:00:09-525032],10765,3,00010766,00010764,1,0007256,0018363
[09:00:11-109783],10764,3,00010765,00010764,1,0007916,0018360
[09:00:11-788119],10764,30,00010765,00010764,1,0007971,0018330
[09:00:12-810017],10765,5,00010765,00010764,2,0007911,0018380
[09:00:13-081332],10764,117,00010764,00010763,1,0008024,0018263
[09:00:19-431846],10764,187,00010765,00010764,2,0008368,0018204
[09:00:19-433396],10764,2,00010765,00010764,1,0008868,0018202
[09:00:23-553387],10764,4,00010765,00010764,1,0009153,0018326
[09:00:29-236064],10765,50,00010765,00010764,2,0009690,0018217
[09:00:33-667919],10764,1,00010765,00010764,1,0009943,0017891
[09:00:33-671193],10764,25,00010765,00010764,1,0009943,0017866
[09:00:33-672011],10764,6,00010765,00010764,1,0009943,0017860
[09:00:33-674524],10764,64,00010765,00010764,1,0009943,0017793
[09:00:33-675702],10764,21,,7 000107,1,, 000108
[09:00:36-535982],10764,203,00010765,00010764,2,0009995,0017869
[09:00:37-883152],10764,200,00010765,00010764,1,0009995,0017672
[09:00:37-884879],10764,25,00010765,00010764,1,0009995,0017647
[09:00:37-886603],10764,6,00010765,00010764,1,0009995,0017641
[09:00:37-890126],10764,4,00010765,00010764,1,0009995,0017637
[09:00:37-891433],10764,6,00010765,00010764,1,0009995,0017631
[09:00:37-897244],10764,59,,7 000107,1,, 000108
[09:00:38-234801],10764,3,00010765,00010764,2,0009995,0017579
[09:00:38-236867],10764,6,00010765,00010764,1,0009995,0017573
[09:00:38-323733],10764,1,00010764,00010763,1,0009999,0017572
[09:00:44-251798],10763,300,00010764,00010763,1,0010578,0017601
[09:00:59-133038],10763,50,00010764,00010763,1,0010904,0014124
[09:01:10-021532],10763,200,00010764,00010763,1,0011240,0013976
[09:01:11-646463],10763,3,00010764,00010763,1,0011581,0013983
[09:01:11-783418],10763,3,00010764,00010763,1,0011581,0013980
[09:01:17-940357],10763,150,00010764,00010763,1,0011942,0013886
[09:01:19-031950],10763,1,00010764,00010763,1,0011942,0013912
[09:01:19-034610],10763,1,00010764,00010763,1,0011942,0013911
[09:01:19-058314],10763,6,00010764,00010763,1,0011942,0013905
[09:01:19-060796],10763,6,00010764,00010763,1,0011942,0013899
[09:01:21-975037],10763,5,00010764,00010763,1,0012042,0013904
[09:01:22-234916],10763,50,00010764,00010763,1,0012042,0013854
[09:01:22-722489],10763,60,00010764,00010763,1,0012042,0013795
[09:01:22-724268],10763,6,00010764,00010763,1,0012042,0013789
[09:01:23-417833],10763,60,00010764,00010763,1,0012092,0013729
[09:01:23-419514],10763,6,00010764,00010763,1,0012092,0013723
[09:01:23-433898],10763,26,00010763,00010762,1,0012096,0013697
[09:01:23-440794],10763,5,00010764,00010762,2,0012092,0013769
