시간,현재가,체결수량,매도1호가,매수1호가,최종매도매수,총잔량매도,총잔량매수
[09:00:01-262608],10752,15,10752,10751,2,9056,13628
[09:00:01-272302],10752,100,10752,10751,2,8956,13628
[09:00:09-066987],10751,10,10752,10751,1,9539,13668
[09:00:09-745557],10751,55,10752,10751,1,9549,13613
[09:00:10-143275],10751,6,10752,10751,1,9549,13607
[09:00:10-145370],10751,6,10752,10751,1,9549,13601
[09:00:14-694586],10751,2,10752,10751,1,10059,13855
[09:00:17-991845],10751,25,10752,10751,1,10079,13729
[09:00:17-994413],10751,25,10752,10751,1,10079,13704
[09:00:17-994853],10751,25,10752,10751,1,10079,13679
[09:00:17-998958],10751,50,10752,10751,1,10079,13629
[09:00:17-999804],10751,100,10752,10751,1,10079,13529
[09:00:18-001817],10751,9,10752,10750,1,10079,13520
[09:00:18-013067],10751,1,,,2,,
[09:00:18-476237],10751,4,10752,10751,1,10068,13436
[09:00:18-478435],10751,4,10752,10751,1,10068,13432
[09:00:18-644843],10751,20,10752,10751,1,10068,13515
[09:00:19-913264],10751,40,10752,10751,1,10101,13538
[09:00:21-496390],10751,10,10752,10751,1,10101,13578
[09:00:22-373330],10751,11,10752,10751,1,10101,13589
[09:00:29-379072],10751,6,10752,10751,1,10124,13246
[09:00:29-383767],10751,6,10752,10751,1,10124,13237
[09:00:31-426485],10751,2,10752,10751,1,10126,13245
[09:00:36-382651],10751,1,10752,10751,1,10126,13244
[09:00:36-387846],10751,1,10752,10751,1,10126,13243
[09:00:39-080919],10751,30,10752,10751,1,10221,13213
[09:00:39-663851],10751,50,10752,10751,1,10221,13163
[09:00:40-130187],10751,6,10752,10751,1,10221,13107
[09:00:42-918300],10751,6,10752,10751,1,10221,13101
[09:00:43-655140],10751,10,10752,10751,1,10221,13091
[09:00:44-009753],10751,88,10751,10750,1,10233,13002
[09:00:45-339876],10750,2,10751,10750,1,10241,13123
[09:01:06-564204],10751,150,10751,10750,2,10687,13422
[09:01:06-566274],10751,12,10751,10750,2,10675,13422
[09:01:06-566577],10751,50,10751,10750,2,10625,13422
[09:01:06-567719],10751,45,,,2,,
[09:01:07-965667],10751,45,10752,10751,1,10583,13478
[09:01:14-793273],10751,3,10752,10751,1,10328,13916
[09:01:15-990046],10751,6,10752,10751,1,11228,13755
[09:01:16-088678],10751,6,10752,10751,1,11228,13749
[09:01:16-094482],10751,6,10752,10751,1,11228,13742
[09:01:16-102535],10751,6,10752,10751,1,11228,13733
[09:01:29-788695],10751,2,10752,10751,1,9334,13886
[09:01:33-107657],10751,6,10752,10751,1,9384,13830
[09:01:33-126276],10751,50,10752,10751,1,9450,13780
[09:01:33-130077],10751,6,10752,10751,1,9467,13771
[09:01:34-957849],10751,1,10752,10751,1,9467,14000
[09:01:46-791984],10751,60,10752,10751,1,9487,14024
[09:01:49-340935],10751,3,10752,10751,1,9484,14078
[09:01:52-111118],10751,45,10752,10751,1,9486,14043
[09:01:59-347136],10751,300,10752,10751,1,9125,13828
[09:02:07-591298],10751,2,10752,10751,1,9751,13989
[09:02:20-538544],10752,1,10752,10751,2,9620,14482
[09:02:31-988766],10751,2,10752,10751,1,9365,14399
[09:02:32-455770],10752,80,10752,10751,2,9285,14417
[09:02:32-460605],10752,149,10752,10751,2,9136,14417
[09:02:32-466364],10752,17,10752,10751,2,9119,14417
[09:02:32-478848],10752,7,10752,10751,2,9112,14417
[09:02:32-481258],10752,100,10752,10751,2,9012,14417
[09:02:32-482668],10752,56,10752,10751,2,8956,14417
[09:02:32-483700],10752,3,10752,10751,2,8953,14417
[09:02:32-486278],10752,155,10752,10751,2,8798,14417
[09:02:32-496334],10752,2,10752,10751,2,8796,14417
[09:02:32-502671],10752,12,10752,10751,2,8784,14417
[09:02:32-503789],10752,1,10752,10751,2,8783,14417
[09:02:32-506359],10752,1,10752,10751,2,8782,14417
[09:02:32-507626],10752,50,10752,10751,2,8732,14417
[09:02:32-508822],10752,1,10752,10751,2,8731,14417
[09:02:32-510087],10752,10,10752,10751,2,8721,14417
[09:02:32-511509],10752,25,10752,10751,2,8696,14417
[09:02:32-512601],10752,66,10752,10751,2,8630,14417
[09:02:32-514137],10752,50,10752,10751,2,8580,14417
[09:02:32-516428],10752,3,,,2,,
[09:02:42-443669],10753,7,10753,10752,2,8616,15002
[09:02:43-920603],10753,300,10753,10752,2,8076,15069
[09:02:43-924779],10753,12,10753,10752,2,8061,15069
[09:02:43-925903],10753,5,10753,10752,2,8056,15069
[09:02:44-776699],10753,20,10753,10752,2,8036,15149
[09:02:54-635676],10753,150,10753,10752,2,8162,15052
[09:02:54-656939],10753,1,10753,10752,2,8158,15052
[09:02:56-614679],10753,1,10753,10752,2,8157,15052
[09:02:56-617055],10753,1,10753,10752,2,8156,15052
[09:02:56-618299],10753,1,10753,10752,2,8155,15052
[09:02:56-619583],10753,1,10753,10752,2,8154,15052
[09:03:33-873207],10752,2,10753,10752,1,9135,15460
[09:03:40-955103],10753,2,10753,10752,2,9178,15460
[09:03:40-955503],10753,4,10753,10752,2,9174,15460
[09:03:40-957094],10753,5,10753,10752,2,9169,15460
[09:03:57-217917],10752,1,10753,10752,1,9168,15459
[09:04:14-481763],10752,1,10753,10752,1,9321,15310
[09:04:38-815145],10752,2,10753,10752,1,9546,15367
[09:04:38-977232],10752,100,10753,10752,1,9546,15267
[09:05:00-107082],10752,1,10753,10752,1,9546,15296
[09:05:24-442276],10752,2,10753,10752,1,9557,15310
[09:05:32-845542],10753,50,10753,10752,2,9519,15314
[09:05:41-723388],10752,1,10753,10752,1,9440,15318
[09:06:10-494152],10753,200,10753,10752,2,9284,15430
[09:06:10-495689],10753,25,10753,10752,2,9259,15430
[09:06:10-496201],10753,11,10753,10752,2,9248,15430
[09:06:10-499697],10753,6,10753,10752,2,9242,15430
[09:06:10-501986],10753,2,10753,10752,2,9240,15430
[09:06:10-503326],10753,75,10753,10752,2,9165,15430
[09:06:11-164798],10753,200,10753,10752,2,8965,15415
[09:06:11-174563],10753,50,10754,10752,2,8915,15439
[09:06:11-181595],10753,5,10754,10752,1,8998,15339
[09:06:11-252698],10753,5,10754,10752,1,8998,15334
[09:06:11-277780],10753,3,10754,10753,2,8998,15576
[09:06:18-172246],10754,4,10754,10753,2,8994,15723
[09:06:23-362890],10753,1,10754,10753,1,8910,15772
[09:06:47-785052],10753,10,10754,10753,1,9964,16083
[09:06:49-507611],10753,1,10754,10753,1,9964,15846
[09:06:58-858948],10753,100,10754,10753,1,10144,15713
[09:07:04-441438],10753,1,10754,10753,1,10193,15733
[09:07:06-447924],10753,5,10754,10753,1,10194,15728
[09:07:07-874519],10753,50,10754,10753,1,10144,15678
[09:07:08-836974],10753,150,10754,10753,1,10145,15528
[09:07:08-926186],10753,13,10754,10753,1,10145,15515
[09:07:08-926701],10753,100,10754,10753,1,10145,15415
[09:07:08-969924],10753,1,10754,10753,1,10145,15414
[09:07:08-970342],10753,2,10754,10753,1,10145,15412
[09:07:08-971565],10753,1,10754,10753,1,10145,15411
[09:07:08-973126],10753,7,10754,10753,1,10145,15404
[09:07:08-974592],10753,12,10754,10753,1,10145,15392
[09:07:08-977403],10753,1,10754,10753,1,10145,15391
[09:07:08-978903],10753,1,10754,10753,1,10145,15390
[09:07:08-980608],10753,12,10754,10753,1,10145,15378
[09:07:08-981707],10753,25,10754,10753,1,10145,15353
[09:07:09-011686],10753,142,10754,10753,1,10145,15211
[09:07:09-015557],10753,1,10754,10753,1,10145,15210
[09:07:09-052308],10753,2,10754,10753,1,10145,15208
[09:07:09-053581],10753,6,10754,10753,1,10145,15202
[09:07:09-054507],10753,1,10754,10753,1,10145,15201
[09:07:09-056311],10753,5,10754,10753,1,10145,15196
[09:07:09-057341],10753,68,,,1,,
[09:07:09-082081],10753,2,10753,10752,2,10240,15219
[09:07:09-099964],10753,1,10754,10753,2,10145,15227
[09:07:09-122564],10753,4,,,1,,
[09:07:09-630543],10753,8,10753,10752,2,10159,15219
[09:07:09-633983],10753,10,10753,10752,2,10149,15219
[09:07:28-801806],10752,1,10753,10752,1,10375,15185
[09:07:49-129445],10752,1,10753,10752,1,10638,15108
[09:07:58-390362],10753,100,10753,10752,2,10658,15099
[09:07:59-683309],10753,300,10753,10752,2,10358,15134
[09:07:59-685783],10753,25,10753,10752,2,10333,15134
[09:07:59-690384],10753,84,,,2,,
[09:07:59-721388],10753,3,,,1,,
[09:07:59-756494],10753,1,10754,10752,1,10249,15200
[09:08:01-581838],10753,2,10754,10753,1,10249,15201
[09:08:02-617172],10753,1,10753,10752,2,10248,15200
[09:08:02-619011],10753,1,10754,10752,2,10247,15200
[09:08:02-622961],10753,1,10754,10752,1,10247,15200
[09:08:15-445383],10753,31,10754,10752,2,10347,15201
[09:08:54-012958],10753,40,10754,10753,1,11310,15857
[09:08:55-534585],10753,31,10754,10753,1,11310,15695
[09:09:02-817586],10753,10,10754,10753,1,11310,15687
[09:09:04-942550],10753,10,10754,10753,1,11310,15677
